Close,Volume,LogRet,mavol,rsi,stoch,macd,atr
-0.451131884,1.140070224,-0.658585032,-0.243818372,0.416294923,-2.057125219,-0.042313661,-0.331360112
-0.447412015,0.128407072,0.529443076,-0.227492389,0.678516306,-1.671458873,-0.046808811,-0.319029166
-0.44858926,-0.279664024,-0.242125354,-0.246042575,0.505818465,-1.79351263,-0.058140942,-0.324663523
-0.449248337,-0.12800003,-0.161009638,-0.239093556,0.409033606,-1.861843977,-0.072691078,-0.322739225
-0.448683288,-0.040707939,0.031841228,-0.226668957,0.454345652,-1.803261193,-0.084849462,-0.323885346
-0.441808828,0.684545387,1.01392764,-0.174961691,0.895716734,-0.985021661,-0.070527465,-0.295407997
-0.441055455,0.374837935,0.058874002,-0.135138242,0.934305751,-1.402407187,-0.059359567,-0.294993908
-0.441502748,-0.215943388,-0.126059545,-0.145283355,0.864150671,-1.446214997,-0.055446291,-0.297909573
-0.442138366,-0.3303297,-0.155214631,-0.219971381,0.761340628,-1.510657162,-0.057991754,-0.30120826
-0.4420443,-0.306351203,-0.042665055,-0.247725105,0.767626755,-1.50112025,-0.062738755,-0.303098659
-0.439525096,-0.313330129,0.330164766,-0.253149415,0.929222927,-1.199061878,-0.059751813,-0.296514742
-0.441290812,0.265891189,-0.328376711,-0.226543235,0.629856847,-1.294343085,-0.067356497,-0.295328179
-0.442138366,-0.220258037,-0.187860372,-0.210035804,0.491719357,-1.368212123,-0.079612164,-0.296925709
-0.442891854,-0.55157574,-0.173632491,-0.219108271,0.368616718,-1.433882771,-0.09500731,-0.298439006
-0.443291961,-0.384229513,-0.11912483,-0.233474868,0.301893556,-1.468754329,-0.111316304,-0.299844732
-0.446917611,0.462862701,-0.621845751,-0.185475053,-0.237034636,-1.784749845,-0.140664099,-0.305370328
-0.446517312,-0.279390195,0.005459225,-0.172420062,-0.19063323,-1.749861583,-0.16428037,-0.307732071
-0.448283143,-0.466415071,-0.334089961,-0.161213002,-0.426366996,-1.903763486,-0.191537265,-0.309120702
-0.446446782,-0.558243834,0.230750948,-0.201826001,-0.202289417,-2.475862611,-0.207366558,-0.308100073
-0.447929992,-0.697718759,-0.289623309,-0.222041776,-0.398284308,-2.639604588,-0.22693553,-0.313652646
-0.449154156,-0.503011882,-0.249809837,-0.340436802,-0.551807167,-2.774748636,-0.248206858,-0.312542632
-0.445010643,-0.059616908,0.59196059,-0.332511879,-0.068239563,-2.31731718,-0.249753646,-0.295491486
-0.44541098,-0.50356694,-0.119552269,-0.431524371,-0.12148797,-2.361513211,-0.253450188,-0.301167006
-0.442185514,-0.517376778,0.443200998,-0.470426307,0.19536341,-2.005431328,-0.244727993,-0.290165539
-0.440090222,-0.38881059,0.265319746,-0.477001282,0.371968174,-1.774117327,-0.230758241,-0.28375172
-0.442091371,-0.302243775,-0.365155288,-0.487497703,0.093209325,-2.168514671,-0.228722382,-0.290705957
-0.44183244,-0.731111036,-0.017233129,-0.529087497,0.11737593,-2.136621976,-0.227295032,-0.293104032
-0.44216194,-0.241616661,-0.108029119,-0.58487938,0.069255624,-2.17720667,-0.228642642,-0.294910456
-0.435263943,0.701426545,0.997041029,-0.565205724,0.62733936,-1.059618303,-0.204120725,-0.262081825
-0.433074317,1.570965296,0.273055349,-0.457562574,0.759267306,-0.928307201,-0.177869204,-0.252725198
-0.434133807,1.596483154,-0.216716004,-0.341491616,0.605634656,-1.010978662,-0.163161841,-0.260789476
-0.435381584,-0.055746305,-0.245694151,-0.326395209,0.427342787,-1.108341954,-0.158396827,-0.267460985
-0.429660641,0.237013382,0.80157719,-0.293242586,0.784409269,-0.644599259,-0.134450963,-0.247055487
-0.420125801,1.822606302,1.343414306,-0.199466268,1.171457207,-0.162580046,-0.080959934,-0.200300861
-0.417818458,1.110504145,0.276175562,-0.119301325,1.241992228,-0.151236684,-0.03295885,-0.186660565
-0.419537217,0.124373652,-0.305304415,-0.078582221,1.033557729,-0.290934003,-0.005419279,-0.195151207
-0.416416664,0.231640422,0.39242928,-0.041482295,1.141701258,-0.278888897,0.024542233,-0.193766776
-0.411333985,0.621801653,0.666946495,-0.031907833,1.292754454,-0.082631665,0.06366898,-0.179870424
-0.412279706,0.139471224,-0.191163316,-0.006675675,1.18029253,-0.13186943,0.086152395,-0.187380894
-0.412823443,-0.301703519,-0.134370592,0.003246528,1.113472027,-0.156095583,0.096898841,-0.196785697
-0.425163633,1.971754034,-1.840340678,0.155653274,-0.053812964,-0.705912275,0.05258046,-0.22001647
-0.419749958,0.698858477,0.73259923,0.239782907,0.216703979,-0.583167316,0.034474787,-0.199669812
-0.418520619,0.209859954,0.120507596,0.282726215,0.273677862,-0.52396985,0.020885583,-0.198023246
-0.416322023,-0.08575643,0.25910659,0.281151574,0.375091747,-0.418098842,0.014748574,-0.195234775
-0.416771233,-0.311294917,-0.121652341,0.292734016,0.336852489,-0.644528104,0.004251904,-0.198965823
-0.417858668,-0.366127228,-0.213576897,0.301845269,0.240960935,-0.868220154,-0.012015873,-0.208704854
-0.41660587,-0.361864384,0.122949439,0.303468505,0.309174016,-1.327301555,-0.023544347,-0.2107713
-0.417220482,-0.162635636,-0.145478779,0.311878481,0.249911338,-1.608315507,-0.038470141,-0.219619488
-0.417078616,-0.295901314,-0.036790786,0.338095459,0.25864078,-1.596129223,-0.052953933,-0.222887744
-0.419229949,0.024130213,-0.367302246,0.354104017,0.037892226,-1.780928746,-0.075819411,-0.229525145
-0.418236926,-0.571417206,0.086190371,0.277428073,0.108714143,-1.695628046,-0.092797326,-0.235501889
-0.412870668,0.269798796,0.710867193,0.19904597,0.446604562,-1.23466644,-0.088009561,-0.221418116
-0.416464042,0.089293999,-0.570238204,0.108253089,0.087991897,-1.640672556,-0.100968995,-0.2440416
-0.415234665,0.185000766,0.118911239,0.122755662,0.166674499,-1.567450456,-0.108982578,-0.233283602
-0.413059797,-0.226134249,0.252895847,0.094855708,0.30210744,-2.014804653,-0.109363259,-0.226929801
-0.413958102,-0.212724053,-0.185036367,-0.027752331,0.207674102,-3.031735136,-0.115677199,-0.235894272
-0.428165817,3.016372818,-2.122085209,0.087056953,-0.859104695,-1.371261475,-0.178181735,-0.244131919
-0.436581714,3.565850439,-1.319979368,0.294371072,-1.244870681,-1.125343229,-0.261537228,-0.290990533
-0.433815884,0.74305588,0.361203657,0.325178673,-1.044814515,-1.00293526,-0.316916205,-0.280883059
-0.43719644,0.548104778,-0.56901942,0.320739183,-1.189874301,-1.152549335,-0.373580892,-0.283461836
-0.439253094,0.595040466,-0.371045871,0.348182616,-1.274523727,-1.19465342,-0.425473044,-0.304916281
-0.44402843,1.9416625,-0.793297674,0.483322696,-1.457256947,-1.399646589,-0.483577734,-0.315290702
-0.434406845,0.622867364,1.415511923,0.402065937,-0.799321861,-0.983401346,-0.490056277,-0.277784677
-0.437550971,0.057352273,-0.533875513,0.363421685,-0.93533091,-1.119421313,-0.505518672,-0.285078627
-0.435517968,-0.211613937,0.25154261,0.338032152,-0.809585695,-1.031470336,-0.507766545,-0.286710678
-0.436085317,-0.37143358,-0.143157092,0.320822998,-0.83651135,-1.056014756,-0.509719725,-0.29026716
-0.434548711,0.837341699,0.175337367,0.39001672,-0.734312293,-0.989538695,-0.503260608,-0.285762022
-0.435636068,0.115988579,-0.221617867,0.419059314,-0.792635195,-1.036579542,-0.500460021,-0.275792125
-0.440576997,0.047124407,-0.810959301,0.443696746,-1.041665957,-1.275221258,-0.515501895,-0.285740487
-0.435612494,-0.151179243,0.700161051,0.444386878,-0.69771998,-1.068388979,-0.505938152,-0.273157382
-0.440695136,0.545751333,-0.832686524,0.495087925,-0.946829897,-2.217563973,-0.51616839,-0.295126042
-0.439891242,-0.081486186,0.066242124,0.488725607,-0.891413636,-2.138742048,-0.518962123,-0.294428461
-0.44112058,-0.728779793,-0.246049992,0.479246105,-0.952941082,-2.259278857,-0.523782587,-0.293553156
-0.439725878,-0.189130396,0.157034339,0.451600269,-0.84778287,-2.122528154,-0.519959964,-0.292975392
-0.442940995,0.000270128,-0.552337723,0.446237483,-1.018225261,-2.437770753,-0.527286164,-0.313444061
-0.439513099,-0.364373245,0.470573718,0.413143263,-0.757360525,-2.143046104,-0.517502055,-0.303651482
-0.437432833,-0.224580087,0.260511115,0.413236885,-0.607916253,-1.936356102,-0.499650053,-0.296431582
-0.436321709,-0.321441374,0.11171626,0.406687768,-0.528379442,-1.825957667,-0.479438836,-0.300292504
-0.435825197,0.056197752,0.018113552,0.228367203,-0.491631429,-1.77662552,-0.459993028,-0.30515627
-0.431026211,0.079502779,0.665057359,0.018350068,-0.15897565,-1.272618742,-0.424683476,-0.285625929
-0.428023951,-0.295516474,0.389624256,-0.044213397,0.023849186,-0.926185384,-0.384315169,-0.279675156
-0.426794727,-0.024544656,0.124656176,-0.078709726,0.096119538,-0.762775926,-0.347319337,-0.269881913
-0.425565427,-0.463018118,0.124036352,-0.142447039,0.169003571,-0.677759501,-0.313387064,-0.275123864
-0.423343333,-0.236983779,0.268804082,-0.273688411,0.297927511,-0.522470664,-0.278391649,-0.270877039
-0.4249507,-0.509280335,-0.292786487,-0.341888842,0.143345846,-0.645497223,-0.257812771,-0.273360209
